SG diagnostics
Field                                   units           code
Streamfunction                          m2s-1           1
Relative vorticity                      s-1             2
Divergence                              s-1             3
Omega                                   mb hr-1         4
Zonal wind                              ms-1            5
Meridional wind                         ms-1            6
Temperature (T)                         C               7
Geopotential height (z)                 m               8
Specific humidity                       g kg-1          9
Diabatic heating                        K day-1         10
Velocity potential                      m2 s-1          11
Pressure (p)                            mb              12
Potential temperature                   K               13
Ertel potential vorticity               pvu             14
Surface pressure                        mb              15
MSL pressure                            mb              16
land/air mask                                           21

